article_id,store_group,site_list_price,listed,stock_status,last_modified_date
ART00000,SG_HWY_02,2.22,True,in_stock,2024-10-31
ART00000,SG_METRO_12,2.27,True,in_stock,2026-03-25
ART00000,SG_HWY_06,2.23,True,in_stock,2025-09-21
ART00000,SG_CBD_31,2.23,True,in_stock,2024-11-01
ART00000,SG_HWY_38,2.18,True,in_stock,2025-09-19
ART00000,SG_REGIONAL_37,2.17,True,in_stock,2024-02-07
ART00000,SG_CBD_39,2.21,True,in_stock,2025-12-02
ART00000,SG_METRO_24,2.29,True,in_stock,2025-09-15
ART00000,SG_METRO_36,2.28,True,in_stock,2025-01-31
ART00000,SG_METRO_16,2.29,True,in_stock,2024-09-13
ART00000,SG_CBD_19,2.3,True,in_stock,2025-08-05
ART00000,SG_HWY_22,2.16,True,in_stock,2025-08-01
ART00000,SG_HWY_18,2.28,True,in_stock,2026-02-07
ART00000,SG_METRO_08,2.24,True,in_stock,2024-01-16
ART00000,SG_REGIONAL_01,2.2,True,in_stock,2024-05-13
ART00001,SG_HWY_02,3.04,True,out_of_stock,2025-11-08
ART00001,SG_METRO_04,3.2,True,in_stock,2025-12-23
ART00001,SG_CBD_19,3.19,True,in_stock,2025-04-06
ART00001,SG_HWY_38,3.12,True,in_stock,2024-05-06
ART00001,SG_REGIONAL_13,3.09,True,in_stock,2026-01-25
ART00001,SG_REGIONAL_33,3.17,True,in_stock,2025-07-26
ART00001,SG_HWY_06,3.1,True,in_stock,2024-07-11
ART00001,SG_HWY_34,3.06,True,in_stock,2025-07-11
ART00001,SG_HWY_14,2.99,True,in_stock,2025-02-04
ART00001,SG_REGIONAL_17,3.07,True,in_stock,2024-01-12
ART00001,SG_METRO_12,3.07,True,in_stock,2024-06-28
ART00001,SG_METRO_32,2.99,True,in_stock,2024-12-06
ART00001,SG_METRO_28,3.18,True,in_stock,2024-03-09
ART00001,SG_METRO_16,3.1,True,in_stock,2025-10-14
ART00001,SG_REGIONAL_21,3.18,True,in_stock,2026-01-16
ART00001,SG_CBD_07,2.99,True,in_stock,2026-06-14
ART00001,SG_HWY_18,3.04,True,in_stock,2024-06-24
ART00001,SG_METRO_20,3.06,True,in_stock,2024-01-04
ART00001,SG_REGIONAL_05,2.99,True,in_stock,2024-04-25
ART00001,SG_HWY_30,3.06,True,in_stock,2026-01-22
ART00001,SG_HWY_22,3.18,True,in_stock,2024-01-26
ART00001,SG_CBD_35,3.09,True,in_stock,2025-06-06
ART00001,SG_CBD_03,3.07,True,in_stock,2026-03-22
ART00001,SG_CBD_11,3.03,True,in_stock,2024-01-11
ART00001,SG_CBD_31,2.99,True,in_stock,2026-05-13
ART00001,SG_HWY_26,3.18,True,in_stock,2024-08-25
ART00002,SG_METRO_28,5.41,True,in_stock,2025-01-11
ART00002,SG_CBD_39,5.56,True,in_stock,2026-02-13
ART00002,SG_REGIONAL_25,5.54,True,in_stock,2024-11-01
ART00002,SG_METRO_00,5.4,True,in_stock,2026-05-09
ART00002,SG_HWY_02,5.59,True,in_stock,2024-03-25
ART00002,SG_HWY_18,5.32,True,in_stock,2025-01-05
ART00002,SG_REGIONAL_01,5.52,True,in_stock,2026-06-25
ART00002,SG_METRO_08,5.67,True,in_stock,2026-05-21
ART00002,SG_CBD_19,5.36,True,in_stock,2024-11-14
ART00002,SG_METRO_36,5.47,True,in_stock,2024-09-16
ART00002,SG_REGIONAL_09,5.49,True,in_stock,2024-08-10
ART00002,SG_CBD_07,5.66,True,in_stock,2025-12-23
ART00002,SG_HWY_06,5.47,True,in_stock,2024-01-27
ART00002,SG_HWY_10,5.7,True,in_stock,2026-01-22
ART00002,SG_HWY_30,5.36,True,in_stock,2024-02-18
ART00002,SG_METRO_24,5.72,True,in_stock,2026-02-22
ART00002,SG_HWY_22,5.36,True,in_stock,2025-07-10
ART00002,SG_METRO_32,5.43,True,in_stock,2024-03-29
ART00002,SG_REGIONAL_17,5.57,True,in_stock,2025-01-11
ART00002,SG_METRO_16,5.54,True,in_stock,2025-10-12
ART00002,SG_REGIONAL_21,5.57,True,out_of_stock,2025-05-08
ART00003,SG_METRO_04,3.14,True,in_stock,2024-01-13
ART00003,SG_METRO_20,3.23,True,in_stock,2024-12-13
ART00003,SG_HWY_30,3.2,True,in_stock,2026-06-02
ART00003,SG_CBD_11,3.15,True,in_stock,2024-04-12
ART00003,SG_CBD_31,3.12,True,in_stock,2025-05-19
ART00003,SG_HWY_06,3.02,True,in_stock,2025-05-12
ART00003,SG_CBD_19,3.17,True,in_stock,2024-07-15
ART00003,SG_HWY_02,3.01,True,in_stock,2025-02-24
ART00003,SG_METRO_24,3.12,True,in_stock,2024-02-28
ART00003,SG_METRO_32,3.22,True,in_stock,2024-11-06
ART00003,SG_CBD_35,3.02,True,in_stock,2024-09-16
ART00003,SG_REGIONAL_01,3.22,True,in_stock,2025-12-16
ART00003,SG_REGIONAL_29,3.09,True,in_stock,2024-12-03
ART00003,SG_HWY_10,3.02,True,out_of_stock,2025-02-05
ART00003,SG_METRO_36,3.06,True,in_stock,2026-04-08
ART00003,SG_REGIONAL_13,3.06,True,in_stock,2025-10-11
ART00003,SG_CBD_27,3.15,True,out_of_stock,2025-08-27
ART00003,SG_CBD_03,3.08,True,in_stock,2024-09-01
ART00003,SG_CBD_07,3.11,True,in_stock,2025-07-26
ART00003,SG_HWY_38,3.06,True,in_stock,2026-02-13
ART00003,SG_REGIONAL_33,3.14,True,in_stock,2026-02-21
ART00003,SG_METRO_00,3.2,True,in_stock,2025-04-13
ART00003,SG_METRO_12,3.11,True,out_of_stock,2025-11-14
ART00003,SG_METRO_28,3.11,True,in_stock,2024-03-03
ART00003,SG_REGIONAL_09,3.0,True,in_stock,2024-10-13
ART00003,SG_METRO_08,3.05,True,in_stock,2024-11-28
ART00003,SG_HWY_18,3.23,True,in_stock,2025-11-02
ART00003,SG_REGIONAL_05,3.21,True,in_stock,2025-08-24
ART00003,SG_HWY_14,3.19,True,in_stock,2025-04-10
ART00003,SG_CBD_15,3.16,True,in_stock,2025-11-15
ART00003,SG_REGIONAL_37,3.2,True,in_stock,2026-05-12
ART00003,SG_REGIONAL_17,3.02,True,in_stock,2026-02-19
ART00003,SG_HWY_22,3.11,True,in_stock,2024-08-30
ART00004,SG_CBD_35,2.37,True,in_stock,2024-08-19
ART00004,SG_REGIONAL_33,2.4,True,in_stock,2025-08-17
ART00004,SG_CBD_15,2.51,True,in_stock,2026-02-05
ART00004,SG_REGIONAL_37,2.52,True,in_stock,2026-01-12
ART00004,SG_METRO_04,2.45,True,in_stock,2026-02-12
ART00004,SG_REGIONAL_17,2.55,True,in_stock,2024-09-27
ART00004,SG_CBD_27,2.55,True,in_stock,2024-12-14
ART00004,SG_METRO_20,2.38,True,in_stock,2024-01-01
ART00004,SG_REGIONAL_05,2.42,True,in_stock,2024-10-14
ART00004,SG_CBD_03,2.53,True,in_stock,2026-05-29
ART00004,SG_REGIONAL_21,2.37,True,out_of_stock,2024-11-06
ART00004,SG_REGIONAL_13,2.5,True,in_stock,2025-03-25
ART00004,SG_METRO_28,2.5,True,in_stock,2024-08-10
ART00004,SG_CBD_11,2.52,True,in_stock,2025-07-08
ART00004,SG_HWY_26,2.38,True,in_stock,2024-12-18
ART00004,SG_HWY_06,2.44,True,in_stock,2026-05-27
ART00005,SG_CBD_03,8.23,True,in_stock,2024-10-23
ART00005,SG_CBD_15,8.11,True,in_stock,2024-02-22
ART00005,SG_REGIONAL_09,8.3,True,in_stock,2026-03-09
ART00005,SG_HWY_18,8.56,True,in_stock,2026-07-01
ART00005,SG_METRO_00,8.62,True,out_of_stock,2026-04-17
ART00005,SG_REGIONAL_21,8.39,True,in_stock,2026-06-30
ART00005,SG_CBD_07,8.2,True,out_of_stock,2025-05-03
ART00005,SG_CBD_19,8.28,True,in_stock,2024-04-30
ART00005,SG_METRO_28,8.08,True,in_stock,2024-02-22
ART00005,SG_HWY_38,8.32,True,out_of_stock,2025-08-12
ART00005,SG_CBD_35,8.32,True,in_stock,2024-11-10
ART00005,SG_HWY_10,8.58,True,in_stock,2025-01-05
ART00005,SG_HWY_06,8.2,True,in_stock,2026-01-31
ART00006,SG_METRO_16,5.46,True,in_stock,2024-12-15
ART00006,SG_HWY_10,5.51,True,in_stock,2025-06-08
ART00006,SG_CBD_03,5.56,True,in_stock,2025-04-11
ART00006,SG_HWY_18,5.38,True,in_stock,2025-01-31
ART00006,SG_METRO_12,5.61,True,in_stock,2024-08-03
ART00006,SG_REGIONAL_17,5.44,True,in_stock,2024-12-11
ART00006,SG_REGIONAL_37,5.43,True,in_stock,2025-11-27
ART00006,SG_REGIONAL_29,5.32,True,in_stock,2024-07-27
ART00006,SG_METRO_00,5.56,True,in_stock,2025-09-15
ART00006,SG_HWY_02,5.53,True,in_stock,2025-12-02
ART00006,SG_CBD_35,5.48,True,in_stock,2026-05-28
ART00008,SG_HWY_38,77.64,True,in_stock,2025-03-02
ART00008,SG_HWY_34,75.56,True,in_stock,2025-03-20
ART00008,SG_REGIONAL_05,77.82,True,in_stock,2025-08-27
ART00008,SG_CBD_11,79.98,True,in_stock,2024-07-05
ART00008,SG_METRO_12,81.17,True,in_stock,2025-10-27
ART00008,SG_METRO_32,79.91,True,in_stock,2025-02-21
ART00008,SG_REGIONAL_29,75.91,True,in_stock,2025-06-15
ART00008,SG_REGIONAL_01,76.3,True,in_stock,2025-02-23
ART00008,SG_HWY_02,80.31,True,in_stock,2025-05-02
ART00008,SG_CBD_07,75.7,True,in_stock,2026-02-24
ART00008,SG_REGIONAL_33,80.8,True,in_stock,2026-06-23
ART00008,SG_METRO_16,78.21,True,in_stock,2025-04-12
ART00008,SG_REGIONAL_09,78.19,True,in_stock,2025-01-18
ART00008,SG_HWY_10,78.38,True,out_of_stock,2026-02-14
ART00008,SG_CBD_15,79.52,True,in_stock,2025-08-06
ART00008,SG_CBD_35,78.97,True,in_stock,2026-04-25
ART00008,SG_CBD_23,77.99,True,out_of_stock,2025-01-20
ART00008,SG_REGIONAL_37,76.86,True,in_stock,2025-04-24
ART00008,SG_METRO_00,79.12,True,in_stock,2026-06-19
ART00008,SG_METRO_36,80.08,True,in_stock,2026-02-16
ART00008,SG_METRO_20,81.18,True,in_stock,2024-03-12
ART00008,SG_CBD_19,79.62,True,in_stock,2024-03-28
ART00008,SG_CBD_27,75.83,True,in_stock,2025-03-24
ART00008,SG_HWY_30,80.17,True,in_stock,2025-01-01
ART00008,SG_METRO_08,76.25,True,in_stock,2025-07-21
ART00009,SG_METRO_08,4.28,True,in_stock,2024-06-25
ART00009,SG_REGIONAL_37,4.14,True,in_stock,2026-03-23
ART00009,SG_HWY_34,4.09,True,in_stock,2025-07-06
ART00009,SG_METRO_12,4.4,True,in_stock,2025-10-30
ART00009,SG_CBD_39,4.38,True,in_stock,2024-10-21
ART00009,SG_CBD_19,4.14,True,in_stock,2024-08-25
ART00009,SG_REGIONAL_33,4.14,True,in_stock,2026-03-05
ART00009,SG_CBD_35,4.16,True,in_stock,2026-03-17
ART00009,SG_CBD_27,4.12,True,in_stock,2025-09-23
ART00009,SG_REGIONAL_29,4.27,True,in_stock,2024-08-23
ART00009,SG_METRO_24,4.16,True,in_stock,2025-01-23
ART00009,SG_METRO_04,4.08,True,in_stock,2025-02-14
ART00009,SG_METRO_20,4.35,True,in_stock,2026-06-29
ART00009,SG_HWY_18,4.09,True,in_stock,2026-05-18
ART00009,SG_REGIONAL_05,4.39,True,in_stock,2025-01-21
ART00009,SG_HWY_10,4.27,True,in_stock,2024-09-21
ART00010,SG_METRO_08,4.79,True,in_stock,2025-11-27
ART00010,SG_CBD_11,4.87,True,in_stock,2025-02-12
ART00010,SG_REGIONAL_01,4.75,True,in_stock,2025-11-01
ART00010,SG_REGIONAL_17,4.58,True,in_stock,2024-12-15
ART00010,SG_HWY_14,4.69,True,in_stock,2026-06-20
ART00010,SG_CBD_35,4.67,True,in_stock,2026-03-08
ART00010,SG_HWY_34,4.58,True,in_stock,2024-11-08
ART00010,SG_REGIONAL_37,4.56,True,in_stock,2025-06-01
ART00010,SG_HWY_22,4.65,True,in_stock,2025-05-08
ART00010,SG_HWY_02,4.79,True,out_of_stock,2024-02-19
ART00010,SG_CBD_31,4.54,True,in_stock,2025-01-26
ART00010,SG_METRO_24,4.85,True,in_stock,2024-09-28
ART00010,SG_CBD_15,4.62,True,in_stock,2026-06-26
ART00011,SG_METRO_00,2.12,True,out_of_stock,2024-12-10
ART00011,SG_REGIONAL_17,2.04,True,in_stock,2025-05-05
ART00011,SG_HWY_26,2.12,True,in_stock,2024-12-14
ART00011,SG_HWY_14,2.03,True,in_stock,2024-04-29
ART00011,SG_METRO_12,2.15,True,in_stock,2025-10-08
ART00011,SG_REGIONAL_13,2.11,True,in_stock,2026-03-29
ART00011,SG_METRO_04,2.07,True,in_stock,2024-01-11
ART00011,SG_CBD_11,2.03,True,out_of_stock,2025-01-05
ART00011,SG_METRO_28,2.05,True,in_stock,2024-11-14
ART00011,SG_CBD_27,2.14,True,in_stock,2025-06-26
ART00011,SG_CBD_19,2.12,True,out_of_stock,2024-11-27
ART00011,SG_CBD_15,2.03,True,in_stock,2025-03-30
ART00011,SG_HWY_22,2.06,True,in_stock,2024-11-05
ART00011,SG_HWY_10,2.15,True,in_stock,2025-01-08
ART00011,SG_METRO_36,2.04,True,in_stock,2024-01-31
ART00011,SG_CBD_07,2.07,True,in_stock,2026-05-30
ART00011,SG_HWY_34,2.15,True,in_stock,2025-03-10
ART00011,SG_CBD_35,2.08,True,out_of_stock,2025-10-14
ART00011,SG_REGIONAL_01,2.15,True,out_of_stock,2025-07-11
ART00011,SG_REGIONAL_29,2.05,True,in_stock,2025-11-26
ART00011,SG_HWY_30,2.02,True,in_stock,2024-08-22
ART00011,SG_REGIONAL_37,2.11,True,out_of_stock,2024-05-13
ART00011,SG_METRO_20,2.02,True,in_stock,2024-09-12
ART00012,SG_CBD_19,6.22,True,in_stock,2025-05-07
ART00012,SG_HWY_18,5.82,True,out_of_stock,2024-04-05
ART00012,SG_REGIONAL_29,6.1,True,in_stock,2026-01-04
ART00012,SG_HWY_10,6.23,True,in_stock,2025-07-27
ART00012,SG_CBD_27,5.99,True,in_stock,2025-02-28
ART00012,SG_HWY_38,6.24,True,in_stock,2025-08-29
ART00012,SG_CBD_03,6.17,True,in_stock,2025-11-08
ART00012,SG_REGIONAL_09,5.86,True,in_stock,2026-04-10
ART00012,SG_REGIONAL_37,6.03,True,in_stock,2025-06-21
ART00012,SG_HWY_26,6.17,True,in_stock,2024-06-12
ART00012,SG_METRO_20,6.24,True,in_stock,2025-06-15
ART00012,SG_HWY_14,6.04,True,in_stock,2026-04-26
ART00012,SG_HWY_02,6.18,True,in_stock,2024-03-19
ART00012,SG_CBD_23,5.92,True,out_of_stock,2024-06-10
ART00012,SG_METRO_16,6.18,True,in_stock,2025-08-04
ART00012,SG_REGIONAL_33,5.97,True,in_stock,2025-02-22
